"Statistic","pH","DO","TN","TP","TotalHabitat","LRBS","MetalsCCU","SpCond","TDS","DSulfate","DChloride","DPotassium","DSodium"
"Average","7.896","7.864","","0.5486","140.4","","","1547","","","","",""
"Median","7.82","7.57","","0.39","143","","","1561","","","","",""
