"StationID","CollectionDateTime","Longitude","Latitude","Calcium","Magnesium","Arsenic","Barium","Beryllium","Cadmium","Chromium","Copper","Iron","Lead","Manganese","Thallium","Nickel","Silver","Zinc","Antimony","Aluminum","Selenium","Hardness"
"2-HAM000.37_2014","2014",-80.021,37.4128,58.9,3.17,0.06,20.4,0.05,0.01,0.07,0.17,4,0.03,2.02,0.002,0.18,0.003,0.38,0.02,2.69,0.1,160
"6BHAR002.41","2014",-83.2583,36.6656,33.5,13.8,0.19,29.5,0.01,0.02,0.35,0.23,4,0.05,1.85,0.002,0.11,0.003,0.79,0.01,3.54,0.1,141
"6CGAS000.45","2014",-82.1576,36.742,45.4,14.2,0.2,23.2,0.07,0.04,0.36,0.24,6.07,0.05,4.02,0.01,0.22,0.003,0.45,0.02,1.97,0.15,172
"1BMSS001.35","2013",-79.0172,38.3749,37.6,17.6,0.28,33.8,0.02,0.04,0.36,0.29,10,0.05,10.01,0.03,0.22,0.03,0.26,0.01,1.02,0.2,166
"2CXAF000.46","5/14/2009",-76.96377777,37.3544444,2.03,0.92,1.85,77.4,0.17,0.1,1.55,1.14,4320,0.78,4200,0.1,6.52,0.1,7.55,0.5,417,0.5,10
